movie_title,genres,tomatometer_rating
Aaja Nachle,Art House & International; Drama; Musical & Performing Arts; Romance,67.0
Flawless,Drama; Mystery & Suspense,55.0
What Happens in Vegas,Comedy; Romance,26.0
Appaloosa,Action & Adventure; Western,76.0
Good,Drama,32.0
The Visitor,Drama,89.0
Meet Bill,Comedy,20.0
Married Life,Comedy; Drama; Mystery & Suspense; Romance,54.0
Badland,Drama,16.0
The Oxford Murders,Art House & International; Drama; Horror; Mystery & Suspense,17.0
Untraceable,Drama; Horror; Mystery & Suspense,16.0
The Informers,Drama; Mystery & Suspense,12.0
Meeting Resistance,Documentary; Special Interest,82.0
The Freshman,Comedy; Drama,94.0
Guta-yubalja-deul (A Bloody Aria),Art House & International; Drama; Mystery & Suspense,42.0
Kenny,Comedy,100.0
The Rocker,Comedy; Drama,41.0
The Perfect Holiday,Kids & Family; Romance,19.0
La Graine et le Mulet (The Secret of the Grain) (Couscous),Art House & International; Drama,93.0
Land of the Lost,Action & Adventure; Comedy; Science Fiction & Fantasy,26.0
[Rec],Art House & International; Horror; Special Interest,89.0
Look,Comedy; Drama,60.0
And God Created Woman,Classics; Comedy; Drama; Romance,38.0
The Box,Horror; Mystery & Suspense; Science Fiction & Fantasy,44.0
Man in the Chair,Comedy; Drama,50.0
Undoing,Drama; Mystery & Suspense,31.0
Black Water,Horror; Mystery & Suspense,80.0
21,Drama; Mystery & Suspense,35.0
The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),Art House & International; Drama; Romance,70.0
Ben X,Art House & International; Drama; Mystery & Suspense,68.0
Body of Lies,Drama; Mystery & Suspense,55.0
Passengers,Drama; Mystery & Suspense,19.0
The Grand,Comedy,40.0
The Hammer,Comedy,80.0
Shutter,Horror; Mystery & Suspense,9.0
Priest,Action & Adventure; Horror; Mystery & Suspense; Science Fiction & Fantasy; Western,15.0
The Broken,Horror; Mystery & Suspense,49.0
The Escapist,Art House & International; Mystery & Suspense,64.0
Sugar,Drama; Sports & Fitness,92.0
Quid Pro Quo,Drama; Mystery & Suspense,61.0
Red,Drama; Mystery & Suspense,70.0
The Guitar,Drama,33.0
The Road,Drama; Mystery & Suspense; Science Fiction & Fantasy,73.0
G-Force,Action & Adventure; Comedy; Kids & Family; Science Fiction & Fantasy,22.0
The Other Man,Drama,15.0
The Duchess,Drama,62.0
The Women,Comedy; Drama,14.0
Public Enemies,Action & Adventure; Drama,68.0
Night and Day (Bam gua nat),Art House & International; Drama,93.0
Julia,Art House & International; Drama; Mystery & Suspense,72.0
Angel and the Badman,Classics; Western; Romance,71.0
Fade to Black,Mystery & Suspense,29.0
Angel Heart,Drama; Mystery & Suspense,79.0
Old Dogs,Comedy; Drama; Kids & Family,5.0
Surrogates,Action & Adventure; Comedy; Mystery & Suspense; Science Fiction & Fantasy,37.0
The Promotion,Comedy,53.0
